  NAK      TPE
 DEPT  ARVL   EFF     DSC    FREQ   CC  TRAIN EQP ORG  DST DD INH PRI
 720A  738A 14JAN21 10APR21    @    AM    109  H  NAK  BAC  0  N   N
 725A  745A 14JAN21 01JAN21 -MTWTFS AM   1505  H  NAK  BAC  0  N   N
 725A  745A 14JAN21 10APR21 -MTWTFS AM   1505  H  NAK  BAC  0  N   N
 725A  745A 14FEB21 14FEB21 S------ AM   1505  H  NAK  BAC  0  N   N
 735A  754A 14JAN21 10APR21    @    AM    609  H  NAK  BAC  0  N   N
 740A  758A 14JAN21 10APR21    @    AM    205  H  NAK  BAC  0  N   N
 800A  818A 14JAN21 10APR21    @    AM    809  H  NAK  BAC  0  N   N
 810A  828A 14JAN21 10APR21    @    AM    613  H  NAK  BAC  0  N   N
 820A  838A 14JAN21 10APR21    @    AM    113  H  NAK  BAC  0  N   N
 825A  845A 14JAN21 01JAN21 -----F- AM   1509  H  NAK  BAC  0  N   N
 825A  845A 14JAN21 10APR21 ----T-S AM   1509  H  NAK  BAC  0  N   N
 825A  845A 09FEB21 14FEB21 S-TW-F- AM   1509  H  NAK  BAC  0  N   N
 835A  854A 14JAN21 10APR21    @    AM    615  H  NAK  BAC  0  N   N
 840A  858A 14JAN21 10APR21 ------S AM   1209  H  NAK  BAC  0  N   N
 840A  858A 14JAN21 04JAN21 -M---F- AM   1209  H  NAK  BAC  0  N   N
 840A  858A 08FEB21 15FEB21 SMT-TF- AM   1209  H  NAK  BAC  0  N   N
 900A  918A 14JAN21 10APR21    @    AM    813  H  NAK  BAC  0  N   N
 910A  928A 14JAN21 10APR21    @    AM    619  H  NAK  BAC  0  N   N
 920A  938A 14JAN21 10APR21    @    AM    117  H  NAK  BAC  0  N   N
 925A  945A 14JAN21 01JAN21 -----FS AM   1513  H  NAK  BAC  0  N   N
 925A  945A 14JAN21 06FEB21 ------S AM   1513  H  NAK  BAC  0  N   N
 925A  945A 09FEB21 15FEB21    @    AM   1513  H  NAK  BAC  0  N   N
 925A  945A 20FEB21 10APR21 ------S AM   1513  H  NAK  BAC  0  N   N
 935A  954A 14JAN21 10APR21    @    AM    621  H  NAK  BAC  0  N   N
 940A  958A 14JAN21 06FEB21 ------S AM   1213  H  NAK  BAC  0  N   N
 940A  958A 14JAN21 01JAN21 ----TF- AM   1213  H  NAK  BAC  0  N   N
 940A  958A 08FEB21 15FEB21    @    AM   1213  H  NAK  BAC  0  N   N
